"COUNTRY","INDICATOR","COUNTERPART_COUNTRY","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE","SERIES_NAME"
"Australia","Trade balance goods, US dollar","Canada","Quarterly","2024-Q4","32257031","Millions","Trade balance goods, US dollar"
"United Kingdom","Trade balance goods, US dollar","Canada","Quarterly","2021-Q1","-2457448034","Millions","Trade balance goods, US dollar"
"United Kingdom","Trade balance goods, US dollar","Canada","Quarterly","2021-Q2","1054463373","Millions","Trade balance goods, US dollar"
"United Kingdom","Trade balance goods, US dollar","Canada","Quarterly","2021-Q3","161236772","Millions","Trade balance goods, US dollar"
"United Kingdom","Trade balance goods, US dollar","Canada","Quarterly","2021-Q4","272111885","Millions","Trade balance goods, US dollar"
"United Kingdom","Trade balance goods, US dollar","Canada","Quarterly","2022-Q1","-1978282330","Millions","Trade balance goods, US dollar"
"United Kingdom","Trade balance goods, US dollar","Canada","Quarterly","2022-Q2","227115149","Millions","Trade balance goods, US dollar"
"United Kingdom","Trade balance goods, US dollar","Canada","Quarterly","2022-Q3","21778564","Millions","Trade balance goods, US dollar"
"United Kingdom","Trade balance goods, US dollar","Canada","Quarterly","2022-Q4","410373455","Millions","Trade balance goods, US dollar"
"United Kingdom","Trade balance goods, US dollar","Canada","Quarterly","2023-Q1","527374807","Millions","Trade balance goods, US dollar"
"United Kingdom","Trade balance goods, US dollar","Canada","Quarterly","2023-Q2","1111781926","Millions","Trade balance goods, US dollar"
"United Kingdom","Trade balance goods, US dollar","Canada","Quarterly","2023-Q3","329729082","Millions","Trade balance goods, US dollar"
"United Kingdom","Trade balance goods, US dollar","Canada","Quarterly","2023-Q4","296957813","Millions","Trade balance goods, US dollar"
"United Kingdom","Trade balance goods, US dollar","Canada","Quarterly","2024-Q1","548250737","Millions","Trade balance goods, US dollar"
"United Kingdom","Trade balance goods, US dollar","Canada","Quarterly","2024-Q2","-897915686","Millions","Trade balance goods, US dollar"
"United Kingdom","Trade balance goods, US dollar","Canada","Quarterly","2024-Q3","932620592","Millions","Trade balance goods, US dollar"
"United Kingdom","Trade balance goods, US dollar","Canada","Quarterly","2024-Q4","182446793","Millions","Trade balance goods, US dollar"
"United States","Trade balance goods, US dollar","Canada","Quarterly","2021-Q1","-7499177029","Millions","Trade balance goods, US dollar"
"United States","Trade balance goods, US dollar","Canada","Quarterly","2021-Q2","-10897563634","Millions","Trade balance goods, US dollar"
"United States","Trade balance goods, US dollar","Canada","Quarterly","2021-Q3","-14120878498","Millions","Trade balance goods, US dollar"
"United States","Trade balance goods, US dollar","Canada","Quarterly","2021-Q4","-15157829829","Millions","Trade balance goods, US dollar"
"United States","Trade balance goods, US dollar","Canada","Quarterly","2022-Q1","-20180209375","Millions","Trade balance goods, US dollar"
"United States","Trade balance goods, US dollar","Canada","Quarterly","2022-Q2","-25313868859","Millions","Trade balance goods, US dollar"
"United States","Trade balance goods, US dollar","Canada","Quarterly","2022-Q3","-20865962617","Millions","Trade balance goods, US dollar"
"United States","Trade balance goods, US dollar","Canada","Quarterly","2022-Q4","-13748920581","Millions","Trade balance goods, US dollar"
"United States","Trade balance goods, US dollar","Canada","Quarterly","2023-Q1","-18065900173","Millions","Trade balance goods, US dollar"
"United States","Trade balance goods, US dollar","Canada","Quarterly","2023-Q2","-14646759178","Millions","Trade balance goods, US dollar"
"United States","Trade balance goods, US dollar","Canada","Quarterly","2023-Q3","-15180478414","Millions","Trade balance goods, US dollar"
"United States","Trade balance goods, US dollar","Canada","Quarterly","2023-Q4","-19968288331","Millions","Trade balance goods, US dollar"
